"Combo","Model_ID","Train_Test_ID","Date","Forecast","Target","Best_Model","Combo_ID","Model_Name","Model_Type","Recipe_ID","Hyperparameter_ID","Horizon","q_val_80","q_val_95","z_val_80","z_val_95","coverage_conf_80","coverage_conf_95","coverage_z_80","coverage_z_95","lo_80","hi_80","lo_95","hi_95","method_80","method_95","coverage_80","coverage_95"
"M1","arima-boost--local--R1_meanf--local--R1_xgboost--local--R1",1,2015-07-01,6932.15247492598,NA,"Yes","M1","NA","local","simple_average","NA",1,1105.8774435063,1625.03845107094,1093.82698722706,1672.86401727576,0.990384615384615,1,0.884615384615385,0.990384615384615,5826.27503141968,8038.02991843227,5259.28845765021,8605.01649220174,"Conformal","Z-Score",0.990384615384615,1
"M1","arima-boost--local--R1_meanf--local--R1_xgboost--local--R1",1,2015-08-01,6208.29050507212,NA,"Yes","M1","NA","local","simple_average","NA",2,1311.41227679264,1873.58690126146,1093.82698722706,1672.86401727576,0.990384615384615,1,0.884615384615385,0.990384615384615,4896.87822827948,7519.70278186476,4334.70360381066,8081.87740633358,"Conformal","Conformal",0.990384615384615,1
"M1","arima-boost--local--R1_meanf--local--R1_xgboost--local--R1",1,2015-09-01,5443.11371967672,NA,"Yes","M1","NA","local","simple_average","NA",3,1234.31993718951,1634.5881117208,1093.82698722706,1672.86401727576,0.990384615384615,1,0.884615384615385,0.990384615384615,4208.79378248721,6677.43365686623,3770.24970240096,7115.97773695249,"Conformal","Z-Score",0.990384615384615,1
"M1","arima-boost--local--R1_meanf--local--R1_xgboost--local--R1",1,2015-10-01,5345.66265537369,NA,"Yes","M1","NA","local","simple_average","NA",4,1474.21228104569,1560.73384153284,1093.82698722706,1672.86401727576,0.990384615384615,1,0.884615384615385,0.990384615384615,3871.450374328,6819.87493641939,3672.79863809793,7018.52667264946,"Conformal","Z-Score",0.990384615384615,1
"M1","arima-boost--local--R1_meanf--local--R1_xgboost--local--R1",1,2015-11-01,4843.20671699866,NA,"Yes","M1","NA","local","simple_average","NA",5,1347.32082109719,1645.24052978029,1093.82698722706,1672.86401727576,0.990384615384615,1,0.884615384615385,0.990384615384615,3495.88589590147,6190.52753809584,3170.34269972289,6516.07073427442,"Conformal","Z-Score",0.990384615384615,1
"M1","arima-boost--local--R1_meanf--local--R1_xgboost--local--R1",1,2015-12-01,4810.77729276966,NA,"Yes","M1","NA","local","simple_average","NA",6,1495.29950946821,2025.82165423149,1093.82698722706,1672.86401727576,0.990384615384615,1,0.884615384615385,0.990384615384615,3315.47778330145,6306.07680223786,2784.95563853817,6836.59894700114,"Conformal","Conformal",0.990384615384615,1
"M1","arima-boost--local--R1_meanf--local--R1_xgboost--local--R1",1,2016-01-01,5153.90528909865,NA,"Yes","M1","NA","local","simple_average","NA",7,1889.76111708241,2012.05405090002,1093.82698722706,1672.86401727576,0.990384615384615,1,0.884615384615385,0.990384615384615,3264.14417201623,7043.66640618106,3141.85123819863,7165.95933999867,"Conformal","Conformal",0.990384615384615,1
"M1","arima-boost--local--R1_meanf--local--R1_xgboost--local--R1",1,2016-02-01,4953.26377195239,NA,"Yes","M1","NA","local","simple_average","NA",8,2042.96921742766,2156.97153769545,1093.82698722706,1672.86401727576,0.990384615384615,1,0.884615384615385,0.990384615384615,2910.29455452473,6996.23298938005,2796.29223425694,7110.23530964784,"Conformal","Conformal",0.990384615384615,1
"M1","arima-boost--local--R1_meanf--local--R1_xgboost--local--R1",1,2016-03-01,4882.57015852852,NA,"Yes","M1","NA","local","simple_average","NA",9,1920.05120058467,2353.10228513593,1093.82698722706,1672.86401727576,0.990384615384615,1,0.884615384615385,0.990384615384615,2962.51895794385,6802.62135911319,2529.46787339259,7235.67244366445,"Conformal","Conformal",0.990384615384615,1
"M1","arima-boost--local--R1_meanf--local--R1_xgboost--local--R1",1,2016-04-01,4561.985372884,NA,"Yes","M1","NA","local","simple_average","NA",10,1986.32431622437,2461.93854195748,1093.82698722706,1672.86401727576,0.990384615384615,1,0.884615384615385,0.990384615384615,2575.66105665963,6548.30968910837,2100.04683092652,7023.92391484149,"Conformal","Conformal",0.990384615384615,1
